"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 29, 2018","6,997.3","7,022.0","7,099.6","6,884.6","0.37K","-0.36%"
"Aug 28, 2018","7,022.3","6,837.5","7,061.9","6,803.0","0.47K","2.71%"
"Aug 27, 2018","6,837.1","6,715.0","6,872.4","6,656.6","0.21K","1.82%"
"Aug 26, 2018","6,715.0","6,713.4","6,743.9","6,577.8","0.14K","0.02%"
"Aug 25, 2018","6,713.4","6,654.8","6,777.5","6,634.5","0.24K","0.88%"
"Aug 24, 2018","6,654.8","6,522.1","6,682.2","6,450.1","0.26K","2.03%"
"Aug 23, 2018","6,522.1","6,372.3","6,558.6","6,372.1","0.27K","2.35%"
"Aug 22, 2018","6,372.3","6,482.9","6,867.0","6,280.5","0.74K","-1.77%"
"Aug 21, 2018","6,487.1","6,295.3","6,499.0","6,289.2","0.28K","3.05%"
"Aug 20, 2018","6,295.3","6,475.4","6,524.9","6,260.0","0.30K","-2.78%"
"Aug 19, 2018","6,475.4","6,408.1","6,549.9","6,333.4","0.25K","1.05%"
"Aug 18, 2018","6,408.1","6,569.8","6,618.8","6,302.0","0.37K","-2.46%"
"Aug 17, 2018","6,569.8","6,348.7","6,571.0","6,323.1","0.57K","3.48%"
"Aug 16, 2018","6,348.7","6,310.2","6,488.1","6,255.0","0.42K","0.61%"
"Aug 15, 2018","6,310.2","6,219.3","6,639.9","6,219.3","0.67K","1.46%"
"Aug 14, 2018","6,219.3","6,306.5","6,333.1","5,941.7","0.65K","-1.38%"
"Aug 13, 2018","6,306.5","6,337.3","6,582.9","6,163.5","0.48K","-0.49%"
"Aug 12, 2018","6,337.3","6,266.0","6,480.0","6,208.4","0.35K","1.14%"
"Aug 11, 2018","6,266.0","6,169.4","6,530.0","6,043.3","0.48K","1.57%"
"Aug 10, 2018","6,169.4","6,551.8","6,597.6","6,018.7","0.68K","-5.84%"
"Aug 09, 2018","6,551.8","6,309.4","6,648.9","6,203.4","0.60K","3.84%"
"Aug 08, 2018","6,309.4","6,735.6","6,743.8","6,121.1","0.96K","-6.33%"
"Aug 07, 2018","6,735.6","6,949.6","7,134.0","6,700.0","0.55K","-3.08%"
"Aug 06, 2018","6,949.6","7,024.6","7,184.5","6,853.4","0.45K","-1.07%"
"Aug 05, 2018","7,024.6","7,023.9","7,111.3","6,909.4","0.49K","0.01%"
"Aug 04, 2018","7,023.9","7,401.0","7,494.8","6,930.9","0.67K","-5.10%"
"Aug 03, 2018","7,401.0","7,559.9","7,559.9","7,320.5","0.41K","-2.10%"
"Aug 02, 2018","7,559.9","7,630.0","7,728.0","7,491.0","0.15K","-0.92%"
"Aug 01, 2018","7,630.0","7,816.4","7,816.4","7,491.0","0.50K","-2.38%"
"Jul 31, 2018","7,816.4","8,131.2","8,131.2","7,637.4","1.06K","-3.87%"
"Jul 30, 2018","8,131.2","8,157.2","8,199.0","7,855.0","1.36K","-0.32%"
"Jul 29, 2018","8,157.2","8,136.0","8,189.0","8,066.8","0.08K","0.15%"
"Jul 28, 2018","8,145.0","8,081.9","8,150.0","8,034.0","0.15K","0.78%"
"Jul 27, 2018","8,081.9","7,872.0","8,179.9","7,711.1","0.34K","2.67%"
"Jul 26, 2018","7,872.0","8,093.0","8,213.4","7,800.0","0.30K","-2.73%"
"Jul 25, 2018","8,093.0","8,287.8","8,368.9","7,907.3","0.55K","-2.35%"
"Jul 24, 2018","8,287.8","7,658.4","8,358.3","7,636.3","0.58K","8.22%"
"Jul 23, 2018","7,658.4","7,373.0","7,725.0","7,366.2","0.34K","3.87%"
"Jul 22, 2018","7,373.0","7,383.2","7,520.0","7,310.1","0.13K","-0.14%"
"Jul 21, 2018","7,383.2","7,319.9","7,427.5","7,225.4","0.11K","0.86%"
"Jul 20, 2018","7,319.9","7,426.2","7,604.4","7,250.2","0.30K","-1.43%"
"Jul 19, 2018","7,426.2","7,340.9","7,482.9","7,252.4","0.23K","1.16%"
"Jul 18, 2018","7,340.9","7,251.1","7,500.0","7,191.6","0.42K","1.24%"
"Jul 17, 2018","7,250.9","6,689.1","7,379.9","6,621.9","0.62K","8.40%"
"Jul 16, 2018","6,689.1","6,352.6","6,700.0","6,341.0","0.33K","5.30%"
"Jul 15, 2018","6,352.6","6,261.4","6,390.0","6,228.2","0.14K","1.46%"
"Jul 14, 2018","6,261.4","6,217.8","6,331.9","6,200.1","0.13K","0.70%"
"Jul 13, 2018","6,217.8","6,255.3","6,339.2","6,126.7","0.22K","-0.60%"
"Jul 12, 2018","6,255.3","6,379.2","6,387.2","6,117.8","0.25K","-1.94%"
"Jul 11, 2018","6,379.2","6,330.0","6,424.9","6,300.0","0.22K","0.78%"
"Jul 10, 2018","6,330.0","6,641.2","6,662.7","6,315.3","0.31K","-4.69%"
"Jul 09, 2018","6,641.2","6,692.9","6,750.0","6,611.3","0.16K","-0.71%"
"Jul 08, 2018","6,688.6","6,712.2","6,773.6","6,677.0","0.20K","-0.35%"
"Jul 07, 2018","6,712.2","6,593.5","6,741.8","6,531.1","0.18K","1.80%"
"Jul 06, 2018","6,593.5","6,563.9","6,657.4","6,460.2","0.23K","0.45%"
"Jul 05, 2018","6,563.9","6,562.0","6,690.0","6,465.1","0.25K","0.03%"
"Jul 04, 2018","6,562.0","6,506.1","6,741.6","6,447.0","0.30K","0.86%"
"Jul 03, 2018","6,506.1","6,651.5","6,672.8","6,478.0","0.29K","-2.19%"
"Jul 02, 2018","6,651.5","6,366.5","6,683.8","6,306.9","0.41K","4.48%"
"Jul 01, 2018","6,366.5","6,407.3","6,448.2","6,263.7","0.16K","-0.64%"
"Jun 30, 2018","6,407.3","6,241.9","6,458.9","6,224.5","0.39K","2.65%"
"Jun 29, 2018","6,242.0","5,946.4","6,339.0","5,891.0","0.43K","4.97%"
"Jun 28, 2018","5,946.4","6,199.8","6,224.0","5,920.1","0.26K","-4.09%"
"Jun 27, 2018","6,199.8","6,126.1","6,225.0","6,099.4","0.25K","1.20%"
"Jun 26, 2018","6,126.1","6,317.9","6,347.5","6,126.1","0.27K","-3.04%"
"Jun 25, 2018","6,317.9","6,224.4","6,418.7","6,166.8","0.49K","1.50%"
"Jun 24, 2018","6,224.4","6,211.7","6,335.7","5,830.8","0.76K","0.20%"
"Jun 23, 2018","6,211.7","6,162.1","6,289.0","6,100.0","0.26K","0.80%"
"Jun 22, 2018","6,162.1","6,737.6","6,739.9","6,031.1","0.79K","-8.54%"
"Jun 21, 2018","6,737.6","6,749.9","6,791.7","6,701.0","0.14K","-0.18%"
"Jun 20, 2018","6,749.9","6,767.8","6,820.0","6,600.0","0.30K","-0.26%"
"Jun 19, 2018","6,767.8","6,750.4","6,892.0","6,686.9","0.25K","0.26%"
"Jun 18, 2018","6,750.4","6,558.9","6,805.7","6,483.0","0.47K","2.92%"
"Jun 17, 2018","6,558.9","6,584.1","6,625.0","6,494.9","0.17K","-0.38%"
"Jun 16, 2018","6,584.1","6,470.1","6,671.0","6,430.1","0.20K","1.76%"
"Jun 15, 2018","6,470.1","6,719.9","6,730.0","6,459.0","0.33K","-3.72%"
"Jun 14, 2018","6,719.9","6,414.2","6,789.0","6,408.2","0.47K","4.77%"
"Jun 13, 2018","6,414.2","6,663.0","6,777.0","6,305.0","0.60K","-3.73%"
"Jun 12, 2018","6,663.0","6,963.9","6,980.0","6,602.8","0.54K","-4.32%"
